,Team_A_Cars, Team_A_Revenue ,Team_B_Cars, Team_B_Revenue ,Team_C_Cars, Team_C_Revenue ,Team_D_Cars, Team_D_Revenue ,,,,
86,90," $9,450.00 ",79," $8,295.00 ",66," $6,930.00 ",86," $9,030.00 ",,,,
87,90," $9,450.00 ",76," $7,980.00 ",63," $6,615.00 ",84," $8,820.00 ",,,,
88,90," $9,450.00 ",78," $8,190.00 ",67," $7,035.00 ",86," $9,030.00 ",,,,
89,90," $9,450.00 ",78," $8,190.00 ",67," $7,035.00 ",86," $9,030.00 ",,,,
90,90," $9,450.00 ",78," $8,190.00 ",68," $7,140.00 ",85," $8,925.00 ",,,,
91,90," $9,450.00 ",79," $8,295.00 ",69," $7,245.00 ",85," $8,925.00 ",,,,
92,91," $9,555.00 ",78," $8,190.00 ",65," $6,825.00 ",86," $9,030.00 ",,,,
93,90," $9,450.00 ",78," $8,190.00 ",67," $7,035.00 ",86," $9,030.00 ",,,,
94,90," $9,450.00 ",78," $8,190.00 ",65," $6,825.00 ",85," $8,925.00 ",,,,
95,91," $9,555.00 ",79," $8,295.00 ",66," $6,930.00 ",86," $9,030.00 ",,,,
96,91," $9,555.00 ",80," $8,400.00 ",66," $6,930.00 ",84," $8,820.00 ",,,,
97,90," $9,450.00 ",79," $8,295.00 ",68," $7,140.00 ",85," $8,925.00 ",,,,
98,91," $9,555.00 ",79," $8,295.00 ",66," $6,930.00 ",85," $8,925.00 ",,,,
99,90," $9,450.00 ",79," $8,295.00 ",67," $7,035.00 ",84," $8,820.00 ",,,,
